waste_id,giver_category,giver_description,location,need_id,receiver_category,receiver_description,receiver_location,matched,combined
1,Vegetable Scraps,Leftover vegetable and fruit peels from café,"40.730610,-73.935242",1,Mushroom Substrate,Needs organic waste for mushroom growing,"40.732610,-73.938242",0,Vegetable Scraps Leftover vegetable and fruit peels from café Mushroom Substrate Needs organic waste for mushroom growing
1,Vegetable Scraps,Leftover vegetable and fruit peels from café,"40.730610,-73.935242",2,Greenhouse Bedding,Compostable bedding for greenhouse,"40.715800,-74.002000",0,Vegetable Scraps Leftover vegetable and fruit peels from café Greenhouse Bedding Compostable bedding for greenhouse
1,Vegetable Scraps,Leftover vegetable and fruit peels from café,"40.730610,-73.935242",3,Organic Compost,Looking for vegetable scraps and coffee grounds,"40.729910,-73.934242",1,Vegetable Scraps Leftover vegetable and fruit peels from café Organic Compost Looking for vegetable scraps and coffee grounds
1,Vegetable Scraps,Leftover vegetable and fruit peels from café,"40.730610,-73.935242",4,Mushroom Substrate,Needs organic waste for mushroom growing,"40.732610,-73.938242",0,Vegetable Scraps Leftover vegetable and fruit peels from café Mushroom Substrate Needs organic waste for mushroom growing
1,Vegetable Scraps,Leftover vegetable and fruit peels from café,"40.730610,-73.935242",5,Greenhouse Bedding,Compostable bedding for greenhouse,"40.715800,-74.002000",0,Vegetable Scraps Leftover vegetable and fruit peels from café Greenhouse Bedding Compostable bedding for greenhouse
1,Vegetable Scraps,Leftover vegetable and fruit peels from café,"40.730610,-73.935242",6,Organic Compost,Looking for vegetable scraps and coffee grounds,"40.729910,-73.934242",0,Vegetable Scraps Leftover vegetable and fruit peels from café Organic Compost Looking for vegetable scraps and coffee grounds
2,Office Paper,Shredded office documents for recycling,"40.712800,-74.006000",1,Mushroom Substrate,Needs organic waste for mushroom growing,"40.732610,-73.938242",0,Office Paper Shredded office documents for recycling Mushroom Substrate Needs organic waste for mushroom growing
2,Office Paper,Shredded office documents for recycling,"40.712800,-74.006000",2,Greenhouse Bedding,Compostable bedding for greenhouse,"40.715800,-74.002000",0,Office Paper Shredded office documents for recycling Greenhouse Bedding Compostable bedding for greenhouse
2,Office Paper,Shredded office documents for recycling,"40.712800,-74.006000",3,Organic Compost,Looking for vegetable scraps and coffee grounds,"40.729910,-73.934242",0,Office Paper Shredded office documents for recycling Organic Compost Looking for vegetable scraps and coffee grounds
2,Office Paper,Shredded office documents for recycling,"40.712800,-74.006000",4,Mushroom Substrate,Needs organic waste for mushroom growing,"40.732610,-73.938242",0,Office Paper Shredded office documents for recycling Mushroom Substrate Needs organic waste for mushroom growing
2,Office Paper,Shredded office documents for recycling,"40.712800,-74.006000",5,Greenhouse Bedding,Compostable bedding for greenhouse,"40.715800,-74.002000",0,Office Paper Shredded office documents for recycling Greenhouse Bedding Compostable bedding for greenhouse
2,Office Paper,Shredded office documents for recycling,"40.712800,-74.006000",6,Organic Compost,Looking for vegetable scraps and coffee grounds,"40.729910,-73.934242",0,Office Paper Shredded office documents for recycling Organic Compost Looking for vegetable scraps and coffee grounds
3,Coffee Grounds,Used coffee grounds from café,"40.730610,-73.935242",1,Mushroom Substrate,Needs organic waste for mushroom growing,"40.732610,-73.938242",1,Coffee Grounds Used coffee grounds from café Mushroom Substrate Needs organic waste for mushroom growing
3,Coffee Grounds,Used coffee grounds from café,"40.730610,-73.935242",2,Greenhouse Bedding,Compostable bedding for greenhouse,"40.715800,-74.002000",0,Coffee Grounds Used coffee grounds from café Greenhouse Bedding Compostable bedding for greenhouse
3,Coffee Grounds,Used coffee grounds from café,"40.730610,-73.935242",3,Organic Compost,Looking for vegetable scraps and coffee grounds,"40.729910,-73.934242",0,Coffee Grounds Used coffee grounds from café Organic Compost Looking for vegetable scraps and coffee grounds
3,Coffee Grounds,Used coffee grounds from café,"40.730610,-73.935242",4,Mushroom Substrate,Needs organic waste for mushroom growing,"40.732610,-73.938242",0,Coffee Grounds Used coffee grounds from café Mushroom Substrate Needs organic waste for mushroom growing
3,Coffee Grounds,Used coffee grounds from café,"40.730610,-73.935242",5,Greenhouse Bedding,Compostable bedding for greenhouse,"40.715800,-74.002000",0,Coffee Grounds Used coffee grounds from café Greenhouse Bedding Compostable bedding for greenhouse
3,Coffee Grounds,Used coffee grounds from café,"40.730610,-73.935242",6,Organic Compost,Looking for vegetable scraps and coffee grounds,"40.729910,-73.934242",0,Coffee Grounds Used coffee grounds from café Organic Compost Looking for vegetable scraps and coffee grounds
